,ruleId,severity,message,line,column,nodeType,messageId,endLine,endColumn,filePath
466,complexity,2,Function 'p' has a complexity of 4. Maximum allowed is 1.,7,49924,FunctionDeclaration,complex,7,50083,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
467,complexity,2,Function has a complexity of 9. Maximum allowed is 1.,7,50114,FunctionExpression,complex,7,50326,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
468,complexity,2,Function has a complexity of 39. Maximum allowed is 1.,7,50346,FunctionExpression,complex,7,50954,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
469,complexity,2,Function 'bn' has a complexity of 4. Maximum allowed is 1.,7,51342,FunctionDeclaration,complex,7,51673,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
470,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,51509,FunctionExpression,complex,7,51575,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
471,complexity,2,Function 'wn' has a complexity of 2. Maximum allowed is 1.,7,51673,FunctionDeclaration,complex,7,51737,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
472,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,51792,FunctionExpression,complex,7,51867,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
473,complexity,2,Function 'Cn' has a complexity of 7. Maximum allowed is 1.,7,51873,FunctionDeclaration,complex,7,52256,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
474,complexity,2,Function 'Sn' has a complexity of 3. Maximum allowed is 1.,7,52256,FunctionDeclaration,complex,7,52498,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
475,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,52442,FunctionExpression,complex,7,52491,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
476,complexity,2,Function 'Ln' has a complexity of 13. Maximum allowed is 1.,7,52498,FunctionDeclaration,complex,7,53149,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
477,complexity,2,Function 'kn' has a complexity of 4. Maximum allowed is 1.,7,53149,FunctionDeclaration,complex,7,53282,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
478,complexity,2,Function 'Tn' has a complexity of 9. Maximum allowed is 1.,7,53282,FunctionDeclaration,complex,7,53686,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
479,complexity,2,Function 'Mn' has a complexity of 19. Maximum allowed is 1.,7,53686,FunctionDeclaration,complex,7,54359,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
480,complexity,2,Function 'Nn' has a complexity of 3. Maximum allowed is 1.,7,54359,FunctionDeclaration,complex,7,54473,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
481,complexity,2,Function 'On' has a complexity of 5. Maximum allowed is 1.,7,54584,FunctionDeclaration,complex,7,54690,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
482,complexity,2,Function 'Dn' has a complexity of 2. Maximum allowed is 1.,7,54690,FunctionDeclaration,complex,7,54800,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
483,complexity,2,Function 'Hn' has a complexity of 4. Maximum allowed is 1.,7,54992,FunctionDeclaration,complex,7,55089,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
